"Espécie","Bioma","Estado","Compartimento","Peso","d mín.","d máx.","R2/R2aj","Syx","Equação","Autor"
"Acacia mangium Willd.","Amazônia","RR","Abaixo (raízes)","Fresco","8,0","30,0","0,91","2,9%","0,045404*(d^2,388124)","Gomes (2017)¹"
"Acacia mangium Willd.","Amazônia","RR","Abaixo (raízes)","Fresco","8,0","30,0","0,91","3,0%","-6,40565-0,44868*(d^2)","Gomes (2017)¹"
"Acacia mangium Willd.","Amazônia","RR","Abaixo (raízes)","Fresco","8,0","30,0","0,91","3,0%","-6,40565-0,44868*d+0,18296*(d^2)","Gomes (2017)¹"
"Acacia mangium Willd.","Amazônia","RR","Abaixo (raízes)","Fresco","8,0","30,0","0,91","2,9%","0,048504*(d^2,464056)*(hf^-0,11171)","Gomes (2017)¹"
"Acacia mangium Willd.","Amazônia","RR","Abaixo (raízes)","Fresco","8,0","30,0","0,85","3,7%","7,312124+0,00858*((d^2)*hf)","Gomes (2017)¹"
"Acacia mangium Willd.","Amazônia","RR","Abaixo (raízes)","Fresco","8,0","30,0","0,86","3,7%","0,034423*(((d^2)*hf)^0,860268)","Gomes (2017)¹"
"Acacia mangium Willd.","Amazônia","RR","Acima 
(tronco+galhos+folhas)","Fresco","8,0","30,0","0,96","1,8%","0,365953*(d^2,322782)","Gomes (2017)"
"Acacia mangium Willd.","Amazônia","RR","Acima 
(tronco+galhos+folhas)","Fresco","8,0","30,0","0,96","1,9%","-50,9254+1,127341*(d^2)","Gomes (2017)"
"Acacia mangium Willd.","Amazônia","RR","Acima 
(tronco+galhos+folhas)","Fresco","8,0","30,0","0,96","1,8%","106,2327-17,5133*d+1,565445*(d^2)","Gomes (2017)"
"Acacia mangium Willd.","Amazônia","RR","Acima 
(tronco+galhos+folhas)","Fresco","8,0","30,0","0,96","1,8%","0,356584*(d^2,293789)*(hf^0,042882)","Gomes (2017)"
"Acacia mangium Willd.","Amazônia","RR","Acima 
(tronco+galhos+folhas)","Fresco","8,0","30,0","0,92","2,5%","55,75248+0,055382*((d^2)*hf)","Gomes (2017)"
"Acacia mangium Willd.","Amazônia","RR","Acima 
(tronco+galhos+folhas)","Fresco","8,0","30,0","0,92","2,6%","0,262875*(((d^2)*hf)^0,843795)","Gomes (2017)"
"Acacia mangium Willd.","Amazônia","RR","Total (abaixo+acima)","Fresco","8,0","30,0","0,96","1,7%","0,4103*(d^2,3315)","Gomes (2017)"
"Acacia mangium Willd.","Amazônia","RR","Total (abaixo+acima)","Fresco","8,0","30,0","0,96","1,8%","-60,7206+1,3039*(d^2)","Gomes (2017)"
