"Espécie","Bioma","Estado","Compartimento","Peso","d mín.","d máx.","R2/R2aj","Syx","Equação","Autor"
"Anadenanthera peregrina (L.) Speg.","Mata Atlântica","ES","Acima 
(tronco+galhos+folhas)","Seco","-","-","0,89","24,1%","3,561821+0,044706*(d^2*ht)","Souza (2018)¹"
"Anadenanthera peregrina (L.) Speg. var. peregrina","Mata Atlântica","ES","Acima 
(tronco+galhos+folhas)","Seco","-","-","0,93","20,4%","396,9-93,24*d+5,715*d^2","Gomes (2022)²"
"Anadenanthera peregrina (L.) Speg. var. peregrina","Mata Atlântica","ES","Acima 
(tronco+galhos+folhas)","Seco","-","-","0,78","18,0%","-108,1+16,47*d","Gomes (2022)³"
"Anadenanthera peregrina (L.) Speg. var. peregrina","Mata Atlântica","ES","Acima 
(tronco+galhos+folhas)","Seco","-","-","0,87","13,9%","-541,7+65,84*d-1,3818*d^2","Gomes (2022)4"
"Aniba rosiodora Ducke","Amazônia","AM","Acima 
(tronco+galhos+folhas)","Fresco","6,0","18,0","0,78","-","12,71452+0,45218*(d^2)","Krainovic et al. (2017)"
"Aniba rosiodora Ducke","Amazônia","AM","Acima 
(tronco+galhos+folhas)","Fresco","6,0","18,0","0,68","-","5,9292+2,1841*d+0,3686*(d^2)","Krainovic et al. (2017)"
"Aniba rosiodora Ducke","Amazônia","AM","Acima 
(tronco+galhos+folhas)","Fresco","6,0","18,0","0,81","-","0,31046*(d^1,54806)*(ht^0,78635)","Krainovic et al. (2017)"
"Aniba rosiodora Ducke","Amazônia","AM","Acima 
(tronco+galhos+folhas)","Fresco","6,0","18,0","0,69","-","1,6607*(d^1,5872)","Krainovic et al. (2017)"
"Aniba rosiodora Ducke","Amazônia","AM","Acima 
(tronco+galhos+folhas)","Fresco","6,0","18,0","0,81","-","0,319*(((d^2)*ht)^0,77631)","Krainovic et al. (2017)"
"Aniba rosiodora Ducke","Amazônia","AM","Acima 
(tronco+galhos+folhas)","Seco","6,0","18,0","0,62","-","13,08642+0,26283*(d^2)","Krainovic et al. (2017)"
"Aniba rosiodora Ducke","Amazônia","AM","Acima 
(tronco+galhos+folhas)","Seco","6,0","18,0","0,62","-","8,6451+0,7148*d+0,2354*(d^2)","Krainovic et al. (2017)"
"Aniba rosiodora Ducke","Amazônia","AM","Acima 
(tronco+galhos+folhas)","Seco","6,0","18,0","0,80","-","0,14867*(d^1,50003)*(ht^0,93917)","Krainovic et al. (2017)"
"Aniba rosiodora Ducke","Amazônia","AM","Acima 
(tronco+galhos+folhas)","Seco","6,0","18,0","0,63","-","1,12*(d^1,5415)","Krainovic et al. (2017)"
"Aniba rosiodora Ducke","Amazônia","AM","Acima 
(tronco+galhos+folhas)","Seco","6,0","18,0","0,80","-","0,17609*(((d^2)*ht)^0,78505)","Krainovic et al. (2017)"
"Araucaria angustifolia 
(Bertol.) Kuntze","Mata Atlântica","PR","Abaixo (raízes)","Seco","20,0","44,0","0,96","3,4%","exp(-5,38290+2,80408*log(d))","Schumacher et al. (2011)"
"Araucaria angustifolia 
(Bertol.) Kuntze","Mata Atlântica","PR","Acima 
(tronco+galhos+folhas)","Seco","14,3","34,4","0,85","21,2%","-263,52+19,7*d","Oliveira et al. (2018)"
"Araucaria angustifolia 
(Bertol.) Kuntze","Mata Atlântica","PR","Acima 
(tronco+galhos+folhas)","Seco","14,3","34,4","0,64","32,3%","-559,89+46,87*ht","Oliveira et al. (2018)"
"Araucaria angustifolia 
(Bertol.) Kuntze","Mata Atlântica","PR","Acima 
(tronco+galhos+folhas)","Seco","14,3","34,4","0,84","21,5%","-298,97+18,45*d+3,97*ht","Oliveira et al. (2018)"
"Araucaria angustifolia 
(Bertol.) Kuntze","Mata Atlântica","PR","Acima 
(tronco+galhos+folhas)","Seco","14,3","34,4","0,86","19,6%","10^(-1,01+2,38*log10(d))","Oliveira et al. (2018)"
"Araucaria angustifolia 
(Bertol.) Kuntze","Mata Atlântica","PR","Acima 
(tronco+galhos+folhas)","Seco","14,3","34,4","0,85","20,3%","10^(-1,57+1,95*log10(d)+0,95*log10(ht))","Oliveira et al. (2018)"
"Araucaria angustifolia 
(Bertol.) Kuntze","Mata Atlântica","PR","Acima 
(tronco+galhos+folhas)","Seco","20,0","44,0","0,97","1,9%","exp(-2,09238+2,41141*log(d))","Schumacher et al. (2011)"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"¹ idade: 56 meses",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"² espaçamento de plantio: 3m x 3m. Idade: 8,3 anos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"³ espaçamento de plantio: 4m x 4m. Idade: 8,3 anos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4 espaçamento de plantio: 5m x 5m. Idade: 8,3 anos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
