"Espécie","Bioma","Estado","Compartimento","Peso","d mín.","d máx.","R2/R2aj","Syx","Equação","Autor"
"Várias","Cerrado","BA","Acima (tronco+galhos+folhas)","Seco","3,5","35,0","91,84","42,8%","14,305-4,104*d+0,406*(d^2)","Oliveira et al. (2019)"
"Várias","Cerrado","BA","Acima (tronco+galhos+folhas)","Seco","3,5","35,0","92,55","42,7%","exp(-3,684+2,692*log(d)+1,6366*(1/d))","Oliveira et al. (2019)"
"Várias","Cerrado","BA","Acima (tronco+galhos+folhas)","Seco","3,5","35,0","91,92","42,6%","0,550+0,041*((d^2)*ht)","Oliveira et al. (2019)"
"Várias","Cerrado","BA","Acima (tronco+galhos+folhas)","Seco","3,5","35,0","93,53","44,9%","exp(-3,086+2,027*log(d)+0,852*log(ht))","Oliveira et al. (2019)"
"Várias","Cerrado","BA","Acima (tronco+galhos+folhas)","Seco","3,5","35,0","92,25","41,7%","3,135+0,0985*(d^2)+0,029*((d^2)*ht)-2,2380*ht","Oliveira et al. (2019)"
"Várias","Cerrado","BA","Acima (tronco+galhos+folhas)","Seco","3,5","35,0","93,58","46,1%","exp(-3,078+0,976*log((d^2)*ht))","Oliveira et al. (2019)"
"Várias","Cerrado","BA","Acima (tronco+galhos+folhas)","Seco","3,5","35,0","92,34","41,4%","-1,176-2,9743*(d)+0,2670*(d^2)-
0,2671*(d*ht)+0,0196*((d^2)*ht)+5,7833*(ht)","Oliveira et al. (2019)"
"Várias","Cerrado","BA","Acima (tronco+galhos+folhas)","Seco","3,5","35,0","93,32","41,5%","(d^2)/1,032+17,503*(1/ht)","Oliveira et al. (2019)"
"Várias","Cerrado","BA","Acima (tronco+galhos+folhas)","Seco","3,5","35,0","91,92","42,6%","((d^2)*ht)/(25,443-0,037*d)","Oliveira et al. (2019)"
"Várias","Cerrado","BA","Acima (tronco+galhos+folhas)","Seco","3,5","35,0","92,19","41,9%","(d^2)*(0,057+0,032*ht)","Oliveira et al. (2019)"
"Várias","Cerrado","BA","Acima (tronco+galhos+folhas)","Seco","3,5","35,0","92,63","40,6%","0,044*(d^2,287)*(ht^0,461)","Oliveira et al. (2019)"
"Várias","Cerrado","GO","Acima (tronco+galhos+folhas)","Fresco","5,0","65,0","97,57","42,9%","-12,262204+0,076572*((d^2)*ht)","Rocha (2011)"
"Várias","Cerrado","GO","Acima (tronco+galhos+folhas)","Fresco","5,0","65,0","98,50","33,7%","(d^2)*(-0,361026+0,106658*ht)","Rocha (2011)"
"Várias","Cerrado","GO","Acima (tronco+galhos+folhas)","Fresco","5,0","65,0","97,47","43,5%","0,075648*(d^2)*ht","Rocha (2011)"
"Várias","Cerrado","GO","Acima (tronco+galhos+folhas)","Fresco","5,0","65,0","98,49","34,0%","0,030309*(d^1,989540)*(ht^1,382197)","Rocha (2011)"
"Várias","Cerrado","GO","Acima (tronco+galhos+folhas)","Fresco","5,0","65,0","97,50","43,5%","0,058864*(((d^2)*ht)^1,025326)","Rocha (2011)"
"Várias","Cerrado","GO","Acima (tronco+galhos+folhas)","Fresco","5,0","65,0","97,64","42,3%","((d^2)*ht)/(11,549165+0,039451*d)","Rocha (2011)"
"Várias","Cerrado","GO","Acima (tronco+galhos+folhas)","Fresco","5,0","65,0","86,98","99,3%","0,899014*(d^1,973865)","Rocha (2011)"
"Várias","Cerrado","GO","Acima (tronco+galhos+folhas)","Seco","5,0","65,0","96,22","51,6%","0,002997*(d^1,770156)*(ht^2,309705)","Rocha (2011)"
"Várias","Cerrado","GO","Acima (tronco+galhos+folhas)","Seco","5,0","65,0","85,94","99,1%","3,290125+0,029838*((d^2)*ht)","Rocha (2011)"
"Várias","Cerrado","GO","Acima (tronco+galhos+folhas)","Seco","5,0","65,0","94,68","75,3%","(d^2)*(-0,561393+0,082749*ht)","Rocha (2011)"
"Várias","Cerrado","GO","Acima (tronco+galhos+folhas)","Seco","5,0","65,0","86,88","99,3%","0,030087*(d^2)*ht","Rocha (2011)"
"Várias","Cerrado","GO","Acima (tronco+galhos+folhas)","Seco","5,0","65,0","87,63","96,4%","0,087741*(((d^2)*ht)^0,891162)","Rocha (2011)"
"Várias","Cerrado","MG","Acima (tronco+galhos+folhas)","Seco","5,0","40,0","98,48","12,3%","exp(-
10,1966777197+2,4240650757*log(d)+0,5413156008*log(ht))*1000","Scolforo et al. (2008)¹"
"Várias","Cerrado","MG","Acima (tronco+galhos+folhas)","Seco","5,0","40,0","88,42","49,4%","exp(-
10,5940591011+1,602721969*log(d)+1,5878967963*log(ht))*1000","Scolforo et al. (2008)¹"
"Várias","Mata Atlântica","PR","Acima (tronco+galhos)","Seco","5,3","82,0","-","-","(0,028726*d^1,675713*ht^1,165411)+(0,003816*(d^2*ht)^1,121684)","Trautenmüller et al. (2021)"
"Várias","Mata Atlântica","PR","Acima (tronco+galhos+folhas)","Seco","5,3","82,0","-","-","(0,028726*d^1,675713*ht^1,165411)+(0,003816*(d^2*ht)^1,121684)+(0,014257*(d^2*ht)^0,671907)","Trautenmüller et al. (2021)"
"Várias","Mata Atlântica","RS","Acima (tronco+galhos+folhas)","Seco","3,2","55,0","0,98","8,0%","10^(-0,882390231+2,409594057*log10(d))","Vogel et al. (2006)"
"Várias","Mata Atlântica","RS","Acima (tronco+galhos+folhas)","Seco","15,6","79,3","0,96","29,1%","1054,19-98,860*d+3,216*(d^2)+0,067*(d*(ht^2))-0,073*((d^2)*ht)","Trautenmüller (2015)"
"Várias","Mata Atlântica","RS","Acima (tronco+galhos+folhas)","Seco","15,6","79,3","0,81","55,0%","-1191,98+64,263*d","Trautenmüller (2015)"
"Várias","Mata Atlântica","RS","Acima (tronco+galhos+folhas)","Seco","5,1","79,3","0,96","40,5%","126,964-18,780*d+1,043*(d^2)","Trautenmüller (2015)"
"Várias","Mata Atlântica","RS","Acima (tronco+galhos+folhas)","Seco","15,6","79,3","0,97","27,5%","-137,231+0,092*(d^2)+0,064*((d^2)*ht)-0,137*(d*(ht^2))+2,677*(ht^2)","Trautenmüller (2015)"
"Várias","Mata Atlântica","RS","Acima (tronco+galhos+folhas)","Seco","15,6","79,3","0,94","37,3%","-160,733+0,813*(d^2)","Trautenmüller (2015)"
"Várias","Mata Atlântica","RS","Acima (tronco+galhos+folhas)","Seco","15,6","79,3","0,94","35,8%","17,240+0,032*((d^2)*ht)","Trautenmüller (2015)"
"Várias","Mata Atlântica","RS","Acima (tronco+galhos+folhas)","Seco","5,0","79,3","0,97","41,0%","-196,649-6,764*d+0,954*(d^2)-
1,872*(d*ht)+0,017*((d^2)*ht)+41,967*ht","Trautenmüller (2015)"
"Várias","Mata Atlântica","RS","Acima (tronco+galhos+folhas)","Seco","5,0","14,7","0,66","48,2%","-2,308+0,119*(d^2)+0,022*((d^2)*ht)-0,004*(d*(ht^2))+0,114*(ht^2)","Trautenmüller (2015)"
"Várias","Mata Atlântica","RS","Acima (tronco+galhos+folhas)","Seco","15,6","79,3","0,94","35,6%","203,223-14,019*ht+0,050*(d^2)+0,032*((d^2)*ht)","Trautenmüller (2015)"
"Várias","Mata Atlântica","RS","Acima (tronco+galhos+folhas)","Seco","15,6","79,3","0,97","27,9%","-246,08-18,187*d+1,336*(d^2)-
2,404*(d*ht)+0,011*((d^2)*ht)+66,471*ht","Trautenmüller (2015)"
"Várias","Mata Atlântica","RS","Acima (tronco+galhos+folhas)","Seco","5,0","14,7","0,58","53,7%","-3,200+0,396*(d^2)","Trautenmüller (2015)"
"Várias","Mata Atlântica","RS","Acima (tronco+galhos+folhas)","Seco","5,0","14,7","0,68","46,7%","3,532+0,035*((d^2)*ht)","Trautenmüller (2015)"
"Várias","Mata Atlântica","RS","Acima (tronco+galhos+folhas)","Seco","5,0","14,7","0,57","54,3%","-34,846+7,423*d","Trautenmüller (2015)"
"Várias","Mata Atlântica","RS","Acima (tronco+galhos+folhas)","Seco","5,0","79,3","0,95","49,0%","48,751-6,204*ht+0,215*(d^2)+0,025*((d^2)*ht)","Trautenmüller (2015)"
"Várias","Mata Atlântica","RS","Acima (tronco+galhos+folhas)","Seco","15,6","79,3","0,96","29,9%","577,956-42,864*d+1,301*(d^2)","Trautenmüller (2015)"
"Várias","Mata Atlântica","RS","Acima (tronco+galhos+folhas)","Seco","5,0","14,7","0,57","54,3%","-6,0731+0,663*d+0,361*(d^2)","Trautenmüller (2015)"
"Várias","Mata Atlântica","RS","Acima (tronco+galhos+folhas)","Seco","5,0","14,7","0,66","48,2%","-6,100+2,070*d-0,081*(d^2)+0,002*(d*(ht^2))+0,030*((d^2)*ht)","Trautenmüller (2015)"
"Várias","Mata Atlântica","RS","Acima (tronco+galhos+folhas)","Seco","5,0","79,3","0,97","39,9%","-74,934+0,107*(d^2)+0,056*((d^2)*ht)-0,103*(d*(ht^2))+1,793*(ht^2)","Trautenmüller (2015)"
"Várias","Mata Atlântica","RS","Acima (tronco+galhos+folhas)","Seco","5,0","14,7","0,67","47,6%","-8,010+1,596*ht+0,093*(d^2)+0,022*((d^2)*ht)","Trautenmüller (2015)"
"Várias","Mata Atlântica","RS","Acima (tronco+galhos+folhas)","Seco","5,0","79,3","0,96","46,1%","83,764-10,718*d+0,647*(d^2)-0,009*(d*(ht^2))+0,015*((d^2)*ht)","Trautenmüller (2015)"
"Várias","Mata Atlântica","RS","Acima (tronco+galhos+folhas)","Seco","5,0","79,3","0,95","49,4%","9,697+0,033*((d^2)*ht)","Trautenmüller (2015)"
"Várias","Mata Atlântica","RS","Acima (tronco+galhos+folhas)","Seco","5,0","14,7","0,66","48,4%","93,949-23,795*d+1,408*(d^2)+2,859*(d*ht)-0,131*((d^2)*ht)-11,045*ht","Trautenmüller (2015)"
"Várias","Mata Atlântica","RS","Acima (tronco+galhos+folhas)","Seco","5,0","14,7","0,76","48,9%","exp(0,145-
0,162*log(d^2)+0,444*(log(d)^2)+0,508*log(ht)+0,121*(log(ht)^2))","Trautenmüller (2015)"
"Várias","Mata Atlântica","RS","Acima (tronco+galhos+folhas)","Seco","15,6","79,3","0,83","31,1%","exp(1,037-0,560*log(d^2)+0,413*(log(d)^2)+2,101*log(ht)-0,218*(log(ht)^2))","Trautenmüller (2015)"
"Várias","Mata Atlântica","RS","Acima (tronco+galhos+folhas)","Seco","15,6","79,3","0,78","36,0%","exp(-1,233+2,194*log(d))","Trautenmüller (2015)"
"Várias","Mata Atlântica","RS","Acima (tronco+galhos+folhas)","Seco","5,0","14,7","0,70","53,9%","exp(-1,490+2,154*log(d))","Trautenmüller (2015)"
"Várias","Mata Atlântica","RS","Acima (tronco+galhos+folhas)","Seco","5,0","79,3","0,92","47,2%","exp(-2,006+2,414*log(d))","Trautenmüller (2015)"
"Várias","Mata Atlântica","RS","Acima (tronco+galhos+folhas)","Seco","15,6","79,3","0,84","47,2%","exp(-2,124+0,869*log((d^2)*ht))","Trautenmüller (2015)"
