"Espécie","Bioma","Estado","Compartimento","Peso","d mín.","d máx.","R2/R2aj","Syx","Equação","Autor"
"Anadenanthera colubrina(Vell.) Brenan","Mata Atlântica","MG","Acima 
(tronco+galhos+folhas)","Seco","10,0","40,0","95,37","32,0%","exp(-
10,429926397+2,3703560196*log(d)+0,7048908784*log(ht))*1000","Scolforo et al. (2008)¹"
"Anadenanthera colubrina(Vell.) Brenan","Mata Atlântica","MG","Acima 
(tronco+galhos+folhas)","Seco","10,0","40,0","94,50","28,8%","exp(-
9,341381587+2,27623091*log(d)+0,3954337202*log(ht))*1000","Scolforo et al. (2008)¹"
"Guadua chacoensis
(Rojas) Londoño","Mata Atlântica","PR","Acima 
(tronco+galhos+folhas)","Seco","5,6","14,0","0,87","19,7%","-19,27046+3,15377*ht","Mognon et al. (2014)"
"Guadua chacoensis
(Rojas) Londoño","Mata Atlântica","PR","Acima 
(tronco+galhos+folhas)","Seco","5,6","14,0","0,83","22,5%","-28,09540+5,90368*d","Mognon et al. (2014)"
"Guadua chacoensis
(Rojas) Londoño","Mata Atlântica","PR","Acima 
(tronco+galhos+folhas)","Seco","5,6","14,0","0,84","22,4%","-1,70418+0,30633*(d^2)","Mognon et al. (2014)"
"Guadua chacoensis
(Rojas) Londoño","Mata Atlântica","PR","Acima 
(tronco+galhos+folhas)","Seco","5,6","14,0","0,92","15,8%","6,9623+0,00776*(d*(ht^2))","Mognon et al. (2014)"
"Guadua chacoensis
(Rojas) Londoño","Mata Atlântica","PR","Acima 
(tronco+galhos+folhas)","Seco","5,6","14,0","0,93","15,0%","-27,53382+2,80989*d+1,91081*ht","Mognon et al. (2014)"
"Guadua chacoensis 
(Rojas) Londoño","Mata Atlântica","PR","Acima 
(tronco+galhos+folhas)","Seco","5,6","14,0","0,86","20,5%","exp(0,62186+0,35049*log(ht^2))","Mognon et al. (2014)"
"Guadua chacoensis
(Rojas) Londoño","Mata Atlântica","PR","Acima 
(tronco+galhos+folhas)","Seco","5,6","14,0","0,83","22,7%","exp(-1,66543+2,16569*log(d))","Mognon et al. (2014)"
"Guadua chacoensis
(Rojas) Londoño","Mata Atlântica","PR","Acima 
(tronco+galhos+folhas)","Seco","5,6","14,0","0,83","22,8%","-30,53017+(8,51517*(d^0,5)*log(d))","Mognon et al. (2014)"
"Kielmeyera coriacea
Mart. & Zucc.","Cerrado","MG","Acima 
(tronco+galhos+folhas)","Seco","5,0","25,0","97,64","12,7%","exp(-
10,454935288+2,1243668209*log(d)+0,4846364811*log(ht))*1000","Scolforo et al. (2008)¹"
"Kielmeyera coriacea
Mart. & Zucc.","Cerrado","MG","Acima 
(tronco+galhos+folhas)","Seco","5,0","25,0","91,00","28,9%","exp(-
11,131420131+2,7809202201*log(d)+0,1607924005*log(ht))*1000","Scolforo et al. (2008)¹"
"Kielmeyera 10oriáceaMart. & Zucc.","Cerrado","MG","Acima 
(tronco+galhos+folhas)","Seco","5,0","25,0","96,09","21,2%","exp(-
11,2626907253+2,428844827*log(d)+0,8160943744*log(ht))*1000","Scolforo et al. (2008)¹"
"Kielmeyera coriacea
Mart. & Zucc.","Cerrado","MG","Acima 
(tronco+galhos+folhas)","Seco","5,0","25,0","98,11","16,8%","exp(-
11,240733240+2,1478860499*log(d)+1,2256819954*log(ht))*1000","Scolforo et al. (2008)¹"
