"Espécie","Bioma","Estado","Compartimento","Peso","d mín.","d máx.","R2/R2aj","Syx","Equação","Autor"
"Guadua weberbaueri Pilg.","Amazônia","AC","Acima (tronco+galhos+folhas)","Seco","3,5","6,2","0,75","-","0,2254*ht+4,969*d-20,171","Torezan e Silveira (2000)"
"Guadua weberbaueri Pilg.","Amazônia","AC","Acima (tronco+galhos+folhas)","Seco","3,5","6,2","0,81","-","2,928*(d^3)-37,554*(d^2)+161,23*d-226,54","Torezan e Silveira (2000)"
"Guadua weberbaueri Pilg.","Amazônia","AC","Acima (tronco+galhos+folhas)","Seco","3,5","6,2","0,73","-","5,4922*d-19,516","Torezan e Silveira (2000)"
"Guadua weberbaueri Pilg.","Amazônia","AC","Acima (tronco+galhos+folhas)","Seco","3,5","6,2","0,76","-","0,172*ht+1,18*d-4,478","Torezan e Silveira (2000)"
"Guadua weberbaueri Pilg.","Amazônia","AC","Acima (tronco+galhos+folhas)","Seco","3,5","6,2","0,68","-","0,2756*exp(0,5122*d)","Torezan e Silveira (2000)"
"Rhizophora mangle L.","Mata Atlântica","SE","Abaixo (raízes)","Seco","1,0","39,2","0,95","55,5%","exp(3,604243+2,511704*log(d))/1000","Santos et al. (2017)"
"Rhizophora mangle L.","Mata Atlântica","SE","Abaixo (raízes)","Seco","1,0","39,2","0,96","49,4%","exp(2,939739+0,934209*log(d^2*ht))/1000","Santos et al. (2017)"
"Rhizophora mangle L.","Mata Atlântica","SE","Acima (tronco+galhos+folhas)","Seco","1,0","39,2","0,99","27,4%","exp(5,360943+2,380682*log(d))/1000","Santos et al. (2017)"
"Rhizophora mangle L.","Mata Atlântica","SE","Total (abaixo+acima)","Seco","1,0","39,2","0,99","28,1%","exp(5,534244+2,404770*log(d))/1000","Santos et al. (2017)"
"Várias","Amazônia","RO","Acima (tronco+galhos+folhas)","Seco","10,0","-","0,94","-","0,0326*(d^2)*ht","Brown et al. (1995)"
