"Espécie","Bioma","Estado","Compartimento","Peso","d mín.","d máx.","R2/R2aj","Syx","Equação","Autor"
"Avicennia schaueriana 
Stapf & Leechm. ex Moldenke","Mata Atlântica","RJ","Acima 
(tronco+galhos+folhas)","Seco","0,7","37,3","0,99","18,7%","123,8716*(d^2,5282)/1000","Estrada et al. (2014)"
"Avicennia schaueriana 
Stapf & Leechm. ex Moldenke","Mata Atlântica","RJ","Acima 
(tronco+galhos+folhas)","Seco","0,7","37,3","0,99","17,4%","68,8881*((d^2)*ht)^0,9397/1000","Estrada et al. (2014)"
"Avicennia schaueriana 
Stapf & Leechm. ex Moldenke","Mata Atlântica","RJ","Acima 
(tronco+galhos+folhas)","Seco","0,7","37,3","0,99","-","exp(4,8017+2,5282*log(d))/1000","Estrada et al. (2014)"
"Banara guianensis Aubl.","Amazônia","PA","Acima 
(tronco+galhos+folhas)","Seco","10,0","-","0,99","-","exp(-1,90+1,11*log(d^2)+0,05*log(ht))","Uhl et al. (1988)¹"
"Bellucia spp.","Amazônia","AM","Acima 
(tronco+galhos+folhas)","Seco","1,2","26,8","0,97","-","0,1591*(d^2,37)","Nelson et al. (1999)"
"Bellucia spp.","Amazônia","AM","Acima 
(tronco+galhos+folhas)","Seco","1,2","26,8","0,99","-","exp(-1,8158+2,37*log(d))","Nelson et al. (1999)"
"Bellucia spp.","Amazônia","AM","Acima 
(tronco+galhos+folhas)","Seco","1,2","26,8","1,00","-","exp(-2,4387+2,0751*log(d)+0,5360*log(ht))","Nelson et al. (1999)"
"Bellucia spp.","Amazônia","AM","Acima 
(tronco+galhos+folhas)","Seco","1,2","26,8","0,91","-","exp(-5,8514+3,8980*log(ht))","Nelson et al. (1999)"
"Cecropia glaziovii Snethl.","Mata Atlântica","SC","Acima 
(tronco+galhos+folhas)","Seco","7,7","33,9","0,98","7,7 kg","295,6/(1+exp(6,1366-0,1161*d-0,1522*ht))","Uller et al. (2021)²"
"Cecropia sciadophylla Mart.","Amazônia","AM","Acima 
(tronco+galhos+folhas)","Seco","5,1","38,2","0,98","-","exp(-2,5118+2,4257*log(d))","Nelson et al. (1999)"
"Cecropia spp.","Amazônia","PA","Acima 
(tronco+galhos+folhas)","Seco","10,0","-","0,98","-","exp(-3,78+0,95*log(d^2)+1,00*log(ht))","Uhl et al. (1988)¹"
"Croton matourensis Aubl.","Amazônia","AM","Acima 
(tronco+galhos+folhas)","Seco","2,3","25,3","0,99","-","exp(-2,7009+2,5996*log(d))","Nelson et al. (1999)"
"Croton matourensis Aubl.","Amazônia","AM","Acima 
(tronco+galhos+folhas)","Seco","2,3","25,3","0,99","-","exp(-3,4630+2,2885*log(d)+0,5906*log(ht))","Nelson et al. (1999)"
"Cyathea delgadii Sternb.","Mata Atlântica","SC","Acima 
(tronco+galhos+folhas)","Seco","6,3","19,5","0,92","3,6 kg","0,1523*d^1,1254*ht^1,0338","Uller et al. (2021)"
"Euterpe edulis Mart.","Mata Atlântica","SC","Acima 
(tronco+galhos+folhas)","Seco","3,9","15,8","0,84","7,1 kg","0,0175*d^1,5288*ht^1,66","Uller et al. (2021)"
"Goupia glabra Aubl.","Amazônia","AM","Acima 
(tronco+galhos+folhas)","Seco","1,5","12,2","0,99","-","exp(-1,7972+2,4206*log(d))","Nelson et al. (1999)"
"Goupia glabra Aubl.","Amazônia","AM","Acima 
(tronco+galhos+folhas)","Seco","1,5","12,2","1,00","-","exp(-2,4990+2,1283*log(d)+0,5508*log(ht))","Nelson et al. (1999)"
"Laetia procera (Poepp.) Eichler","Amazônia","AM","Acima 
(tronco+galhos+folhas)","Seco","1,6","24,8","0,99","-","exp(-2,2244+2,5105*log(d))","Nelson et al. (1999)"
"Laetia procera (Poepp.) Eichler","Amazônia","AM","Acima 
(tronco+galhos+folhas)","Seco","1,6","24,8","1,00","-","exp(-2,6385+2,1976*log(d)+0,4565*log(ht))","Nelson et al. (1999)"
"Solanum crinitum Lam.","Amazônia","PA","Acima 
(tronco+galhos+folhas)","Seco","10,0","-","1,00","-","exp(-2,95+1,02*log(d^2)+0,83*log(ht))","Uhl et al. (1988)¹"
"Solanum rugosum Dunal","Amazônia","PA","Acima 
(tronco+galhos+folhas)","Seco","10,0","-","0,96","-","exp(-3,06+0,89*log(d^2)+1,11*log(ht))","Uhl et al. (1988)¹"
"Tabebuia cassinoides 
(Lam.) DC.","Mata Atlântica","PR","Total (abaixo+acima)","Seco","8,0","15,9","0,21","34,6%","-13,398+3,672*ht","Melo et al. (2014)"
"Tabebuia cassinoides 
(Lam.) DC.","Mata Atlântica","PR","Total (abaixo+acima)","Seco","8,0","15,9","0,96","7,9%","-25,095+4,858*d","Melo et al. (2014)"
"Tabebuia cassinoides 
(Lam.) DC.","Mata Atlântica","PR","Total (abaixo+acima)","Seco","8,0","15,9","0,90","12,4%","6,506+0,016*d^2*ht","Melo et al. (2014)"
"Tabebuia cassinoides 
(Lam.) DC.","Mata Atlântica","PR","Total (abaixo+acima)","Seco","8,0","15,9","0,96","8,2%","-25,016+4,862*d-0,011*ht","Melo et al. (2014)"
"Tabebuia cassinoides 
(Lam.) DC.","Mata Atlântica","PR","Total (abaixo+acima)","Seco","8,0","15,9","0,93","10,1%","exp(-1,445+1,985*log(d))","Melo et al. (2014)"
"Tabebuia cassinoides 
(Lam.) DC.","Mata Atlântica","PR","Total (abaixo+acima)","Seco","8,0","15,9","0,80","17,3%","exp(1,890+0,022*log(d^2*ht))","Melo et al. (2014)"
"Tabebuia cassinoides 
(Lam.) DC.","Mata Atlântica","PR","Total (abaixo+acima)","Seco","8,0","15,9","0,90","12,6%","1,165+0,267*(d^0,5)*log(d)","Melo et al. (2014)"
"Tabebuia cassinoides 
(Lam.) DC.","Mata Atlântica","PR","Total (abaixo+acima)","Seco","8,0","15,9","0,95","8,3%","-31,539+5,946*d-0,024*(d^2)-0,002*(d^2*ht)","Melo et al. (2014)"
"Tabebuia cassinoides 
(Lam.) DC.","Mata Atlântica","PR","Total (abaixo+acima)","Seco","8,0","15,9","0,96","8,1%","-29,005+5,480*d-0,002*(d^2*ht)","Melo et al. (2014)"
"Tabebuia cassinoides 
(Lam.) DC.","Mata Atlântica","PR","Total (abaixo+acima)","Seco","8,0","15,9","0,93","10,3%","exp(-1,569+1,953*log(d)+0,085*log(ht))","Melo et al. (2014)"
"Tabebuia cassinoides 
(Lam.) DC.","Mata Atlântica","PR","Total (abaixo+acima)","Seco","8,0","15,9","0,88","13,3%","exp(1,729+0,113*log(d^3))","Melo et al. (2014)"
"Tabebuia cassinoides 
(Lam.) DC.","Mata Atlântica","PR","Total (abaixo+acima)","Seco","8,0","15,9","0,95","8,5%","329,366-125,944*(d)+17,719*(d^2)-
1,043*(d^3)+0,022*(d^4)","Melo et al. (2014)"
"Tabebuia cassinoides
(Lam.) DC.","Mata Atlântica","PR","Total (abaixo+acima)","Seco","8,0","15,9","0,90","12,0%","11,399+0,011*(d^3)","Melo et al. (2014)"
"Várias","Amazônia","AC","Acima 
(tronco+galhos+folhas)","Seco","50,4","149,9","0,62","169,6%","exp(-
9,16151+1,52337*log(d)+1,35403*log(hf))*1000","Romero et al. (2020)"
"Várias","Amazônia","AC","Acima 
(tronco+galhos+folhas)","Seco","50,4","149,9","-","167,9%","0,0002996*d^1,367517*hf^1,254061*1000","Romero et al. (2020)"
"Várias","Amazônia","AM","Acima 
(tronco+galhos+folhas)","Fresco","5,0","-","0,97","-","exp(-1,335+1,551*log(d)+0,415*log(d^2)-0,053*log(d^3))","Chambers et al. (2001)3"
"Várias","Amazônia","AM","Acima 
(tronco+galhos+folhas)","Seco","5,0","-","0,97","-","exp(-0,370+0,333*log(d)+0,933*log(d)^2-0,122*log(d)^3)","Chambers et al. (2001)3"
"Várias","Amazônia","AM","Acima 
(tronco+galhos+folhas)","Seco","10,0","-","0,95","-","exp(-4,898+4,512*log(d)-0,319*log(d)^2)","Chambers et al. (2001)3"
"Várias","Amazônia","AM","Acima 
(tronco+galhos+folhas)","Seco","5,0","60,0","0,97","-","exp(0,720-1,042*log(d)+1,467*log(d)^2-
0,188*log(d)^3)","Chambers et al. (2001)3"
"Várias","Amazônia","AM","Acima 
(tronco+galhos+folhas)","Seco","5,0","20,0","0,92","43 kg","exp(-1,754+2,665*log(d))","Higuchi et al. (1998)"
"Várias","Amazônia","AM","Acima 
(tronco+galhos+folhas)","Seco","20,0","120,0","0,90","2035 kg","exp(-0,151+2,170*log(d))","Higuchi et al. (1998)"
"Várias","Amazônia","AM","Acima 
(tronco+galhos+folhas)","Seco","5,0","120,0","0,97","1729 kg","exp(-1,497+2,548*log(d))","Higuchi et al. (1998)"
"Várias","Amazônia","AM","Acima 
(tronco+galhos+folhas)","Seco","5,0","20,0","0,95","35 kg","exp(-2,668+2,081*log(d)+0,852*log(ht))","Higuchi et al. (1998)"
"Várias","Amazônia","AM","Acima 
(tronco+galhos+folhas)","Seco","20,0","120,0","0,91","1497 kg","exp(-2,088+1,837*log(d)+0,939*log(ht))","Higuchi et al. (1998)"
"Várias","Amazônia","AM","Acima 
(tronco+galhos+folhas)","Seco","5,0","120,0","0,98","812 kg","exp(-2,694+2,038*log(d)+0,902*log(ht))","Higuchi et al. (1998)"
"Várias","Amazônia","AM","Acima 
(tronco+galhos+folhas)","Seco","5,0","20,0","0,94","34 kg","0,0056+0,621*((d/100)^2)*ht*1000","Higuchi et al. (1998)"
