"Espécie","Bioma","Estado","Compartimento","Peso","d mín.","d máx.","R2/R2aj","Syx","Equação","Autor"
"Ateleia glazioveana Baill.","Mata Atlântica","RS","Acima 
(tronco+galhos+folhas)","Seco","2,0","16,7","0,85","31,4%","-5,6260+1,2986*log(d^2*ht)","Fontoura et al. (2017)"
"Mimosa scabrella Benth.","Mata Atlântica","PR","Abaixo (raízes)","Seco","4,3","23,0","0,96","1,7%","exp(-3,23191+2,881863*log(d)-0,63720*log(ht))","Mello et al. (2012)"
"Mimosa scabrella Benth.","Mata Atlântica","PR","Total (abaixo+acima)","Seco","4,3","23,0","0,99","0,2%","-0,49361+0,034865*(d^2)*ht","Mello et al. (2012)"
"Nectandra grandiflora Nees","Mata Atlântica","PR","Abaixo (raízes)","Seco","9,0","35,0","70,76","77,5%","-28,3918+2,62445*d","Barbeiro et al. (2009)"
"Nectandra grandiflora Nees","Mata Atlântica","PR","Abaixo (raízes)","Seco","9,0","35,0","85,95","53,7%","15,6056-1,9267*d+0,00716883*(d^2)*ht","Barbeiro et al. (2009)"
"Nectandra grandiflora Nees","Mata Atlântica","PR","Abaixo (raízes)","Seco","9,0","35,0","79,00","65,4%","exp(-4,30406+2,37326*log(d))","Barbeiro et al. (2009)"
"Nectandra grandiflora Nees","Mata Atlântica","PR","Abaixo (raízes)","Seco","9,0","35,0","80,08","63,9%","exp(-3,8414+3,275*log(d)-0,366626*log(d^2*ht))","Barbeiro et al. (2009)"
"Nectandra grandiflora Nees","Mata Atlântica","PR","Abaixo (raízes)","Seco","9,0","35,0","96,33","27,4%","exp(-0,395587+0,132527*d+0,0519405*log(d^2*ht))","Barbeiro et al. (2009)"
"Nectandra grandiflora Nees","Mata Atlântica","PR","Total (abaixo+acima)","Seco","9,0","35,0","86,33","40,7%","-159,96+16,065*d","Barbeiro et al. (2009)"
"Nectandra grandiflora Nees","Mata Atlântica","PR","Total (abaixo+acima)","Seco","9,0","35,0","97,36","17,9%","46,1634-5,25673*d+0,0335853*(d^2)*ht","Barbeiro et al. (2009)"
"Nectandra grandiflora Nees","Mata Atlântica","PR","Total (abaixo+acima)","Seco","9,0","35,0","94,58","19,7%","exp(-2,26388+2,38201*log(d))","Barbeiro et al. (2009)"
"Nectandra grandiflora Nees","Mata Atlântica","PR","Total (abaixo+acima)","Seco","9,0","35,0","95,73","22,7%","exp(-3,10478+0,743088*log(d)+0,666342*log(d^2*ht))","Barbeiro et al. (2009)"
"Nectandra grandiflora Nees","Mata Atlântica","PR","Total (abaixo+acima)","Seco","9,0","35,0","98,44","13,7%","exp(-2,08721+0,0364642*d+0,71874*log(d^2*ht))","Barbeiro et al. (2009)"
"Phyllostachys aurea 
Rivière & C. Rivière.","Mata Atlântica","PR","Acima 
(tronco+galhos+folhas)","Seco","1,4","4,6","0,63","31,3%","(-650,820+77,754*d*10)/1000","Monastier et al. (2015)"
"Phyllostachys aurea 
Rivière & C. Rivière.","Mata Atlântica","PR","Acima 
(tronco+galhos+folhas)","Seco","1,4","4,6","0,65","30,2%","(572,612+0,155*((d*10)^2)*ht)/1000","Monastier et al. (2015)"
"Phyllostachys aurea 
Rivière & C. Rivière.","Mata Atlântica","PR","Acima 
(tronco+galhos+folhas)","Seco","1,4","4,6","0,60","30,7%","exp(2,188+1,293*log(d*10)+0,393*log(ht))/1000","Monastier et al. (2015)"
