"Espécie","Bioma","Estado","Compartimento","Peso","d mín.","d máx.","R2/R2aj","Syx","Equação","Autor"
"Attalea phalerata 
Mart. ex Spreng.","Outro","Outro","Acima 
(tronco+galhos+folhas)","Seco","17,0","50,0","0,86","-","exp(3,2579+1,1249*log(hf+1))","Goodman et al. (2013)"
"Avicennia schaueriana 
Stapf & Leechm. ex Moldenke","Mata Atlântica","PE","Acima 
(tronco+galhos+folhas)","Seco","3,4","10,2","0,78","-","0,2309*(d^2,0685)","Medeiros e Sampaio (2008)"
"Avicennia schaueriana 
Stapf & Leechm. ex Moldenke","Mata Atlântica","PE","Acima 
(tronco+galhos+folhas)","Seco","3,4","10,2","0,84","-","0,1327*((d^2)*ht)^0,8298","Medeiros e Sampaio (2008)"
"Euterpe precatoria Mart.","Outro","Outro","Acima 
(tronco+galhos+folhas)","Seco","12,0","19,0","0,97","-","-108,81+13,589*hf","Goodman et al. (2013)"
"Iriartea deltoidea Ruiz & Pav.","Outro","Outro","Acima 
(tronco+galhos+folhas)","Seco","6,0","33,0","0,97","-","exp(-3,483+0,94371*log((d^2)*hf))","Goodman et al. (2013)"
"Laguncularia racemosa 
(L.) C.F.Gaertn.","Mata Atlântica","PE","Acima 
(tronco+galhos+folhas)","Seco","2,1","17,8","0,96","-","0,1442*(d^2,325)","Medeiros e Sampaio (2008)"
"Laguncularia racemosa 
(L.) C.F.Gaertn.","Mata Atlântica","PE","Acima 
(tronco+galhos+folhas)","Seco","2,1","17,8","0,97","-","0,1214*((d^2)*ht)^0,8615","Medeiros e Sampaio (2008)"
"Mauritia flexuosa L.f.","Outro","Outro","Abaixo (raízes)","Seco","19,0","36,0","0,93","-","exp(-0,3688+2,0106*log(hf))","Goodman et al. (2013)"
"Mauritia flexuosa L.f.","Outro","Outro","Acima 
(tronco+galhos+folhas)","Seco","19,0","36,0","0,90","-","exp(2,4647+1,3777*log(hf))","Goodman et al. (2013)"
"Mauritiella aculeata 
(Kunth) Burret","Outro","Outro","Abaixo (raízes)","Seco","8,0","15,0","0,95","-","exp(1,0945+0,11086*hf)","Goodman et al. (2013)"
"Oenocarpus bataua Mart.","Outro","Outro","Acima 
(tronco+galhos+folhas)","Seco","21,0","41,0","0,78","-","exp(4,5496+0,1387*hf)","Goodman et al. (2013)"
"Palmeiras (várias)","Outro","Outro","Acima 
(tronco+galhos+folhas)","Seco","-","-","0,89","-","exp(-6,3789-0,877*log(1/d^2)+2,151*log(ht))","Saldarriaga et al. (1988)¹"
"Rhizophora mangle L.","Mata Atlântica","PE","Acima 
(tronco+galhos+folhas)","Seco","2,5","20,7","0,92","-","0,2938*(d^2,384)","Medeiros e Sampaio (2008)"
"Rhizophora mangle L.","Mata Atlântica","PE","Acima 
(tronco+galhos+folhas)","Seco","2,5","20,7","0,94","-","0,2752*((d^2)*ht)^0,8529","Medeiros e Sampaio (2008)"
