"Espécie","Bioma","Estado","Compartimento","Peso","d mín.","d máx.","R2/R2aj","Syx","Equação","Autor"
"Anadenanthera colubrina(Vell.) Brenan","Cerrado","MG","Acima 
(tronco+galhos+folhas)","Seco","10,0","40,0","94,99","21,2%","exp(-9,995149073+2,4884117855*log(d)+0,3203838261*log(ht))*1000","Scolforo et al. (2008)¹"
"Anadenanthera colubrina(Vell.) Brenan","Cerrado","MG","Acima 
(tronco+galhos+folhas)","Seco","10,0","40,0","91,93","24,3%","exp(-5,1733249886+2,8278563823*log(d)-
2,0882060533*log(ht))*1000","Scolforo et al. (2008)¹"
"Diptychandra aurantiaca Tul.","Pantanal","MS","Acima 
(tronco+galhos+folhas)","Seco","5,0","35,0","0,99","-","exp(-2,119+2,38*log(d))","Salis et al. (2006)"
"Eremanthus erythropappus(DC.) MacLeish","Cerrado","MG","Acima 
(tronco+galhos+folhas)","Seco","5,0","35,0","98,48","20,7%","exp(-3,6776993+1,0141433*log((d^2)*ht))","Scolforo et al. (2008)¹"
"Eremanthus erythropappus(DC.) MacLeish","Cerrado","MG","Acima 
(tronco+galhos+folhas)","Seco","5,0","35,0","98,05","23,2%","exp(-3,695112+1,0221402*log((d^2)*ht))","Scolforo et al. (2008)¹"
"Eremanthus erythropappus(DC.) MacLeish","Cerrado","MG","Acima 
(tronco+galhos+folhas)","Seco","5,0","35,0","98,40","27,6%","exp(-3,513087+1,0109135*log((d^2)*ht))","Scolforo et al. (2008)¹"
"Licania minutiflora 
(Sagot) Fritsch","Pantanal","MS","Acima 
(tronco+galhos+folhas)","Seco","10,0","36,0","0,91","-","exp(-2,265+2,386*log(d))","Salis et al. (2006)"
"Magonia pubescens A.St.-Hil.","Pantanal","MS","Acima 
(tronco+galhos+folhas)","Seco","7,0","35,0","0,99","-","exp(-2,888+2,795*log(d))","Salis et al. (2006)"
"Protium heptaphyllum 
(Aubl.) Marchand","Pantanal","MS","Acima 
(tronco+galhos+folhas)","Seco","8,0","36,0","0,97","-","exp(-2,083+2,536*log(d))","Salis et al. (2006)"
"Stryphnodendron adstringens(Mart.) Coville","Cerrado","MG","Acima 
(tronco+galhos+folhas)","Seco","5,0","25,0","98,89","15,3%","exp(-11,4879612502+2,6267435633*log(d)+0,6604363613*log(ht))*1000","Scolforo et al. (2008)¹"
