"Espécie","Bioma","Estado","Compartimento","Peso","d mín.","d máx.","R2/R2aj","Syx","Equação","Autor"
"Anadenanthera colubrina (Vell.) Brenan","Caatinga","PE","Acima 
(tronco+galhos+folhas)","Fresco","3,0","26,0","91,99","16,7%","54,92921*((1-exp(-0,178713*d))^2,490494)","Abreu et al. (2016)"
"Anadenanthera colubrina (Vell.) Brenan","Caatinga","PE","Acima 
(tronco+galhos+folhas)","Fresco","3,0","26,0","93,45","15,1%","51,63157/(1+16,05867*exp(-0,362138*d))","Abreu et al. (2016)"
"Anadenanthera colubrina (Vell.) Brenan","Caatinga","PE","Acima 
(tronco+galhos+folhas)","Seco","1,9","9,5","0,89","20,7%","48,7255∗(1-exp(-0,1435∗d))^2,4096","Dalla Lana et al. (2018)"
"Anadenanthera colubrina (Vell.) Brenan","Caatinga","PE","Acima 
(tronco+galhos+folhas)","Seco","1,9","9,5","0,86","22,9%","1,7527*(d^1,1265)","Dalla Lana et al. (2018)"
"Anadenanthera colubrina (Vell.) Brenan","Caatinga","PE","Acima 
(tronco+galhos+folhas)","Seco","1,9","9,5","0,86","22,9%","1,7531*(d^2)^0,5632","Dalla Lana et al. (2018)"
"Anadenanthera colubrina (Vell.) Brenan","Caatinga","PE","Acima 
(tronco+galhos+folhas)","Seco","1,9","9,5","0,84","24,8%","1,4905*((d^2)*ht)^0,4069","Dalla Lana et al. (2018)"
"Anadenanthera colubrina (Vell.) Brenan","Pantanal","MS","Acima 
(tronco+galhos+folhas)","Seco","6,0","27,0","0,97","-","-76,809+14,899*d","Padilha (2011)"
"Anadenanthera colubrina var. cebil (Griseb.) Altschul","Caatinga","PE","Acima 
(tronco+galhos+folhas)","Seco","2,0","50,0","0,94","-","0,2482*(d^2,1628)","Sampaio e Silva (2005)"
"Aspidosperma pyrifolium Mart. & Zucc.","Caatinga","PE","Acima 
(tronco+galhos+folhas)","Seco","1,9","9,5","0,74","27,0%","0,7271*(d^0,8176)*(ht^0,6229)","Dalla Lana et al. (2018)"
"Aspidosperma pyrifolium Mart. & Zucc.","Caatinga","PE","Acima 
(tronco+galhos+folhas)","Seco","1,9","9,5","0,71","28,3%","1,0110*(d^1,1361)","Dalla Lana et al. (2018)"
"Aspidosperma pyrifolium Mart. & Zucc.","Caatinga","PE","Acima 
(tronco+galhos+folhas)","Seco","1,9","9,5","0,71","28,3%","1,0109*(d^2)^0,5681","Dalla Lana et al. (2018)"
"Aspidosperma pyrifolium Mart. & Zucc.","Caatinga","PE","Acima 
(tronco+galhos+folhas)","Seco","1,9","9,5","0,75","26,6%","0,7858*((d^2)*ht)^0,4550","Dalla Lana et al. (2018)"
"Aspidosperma pyrifolium Mart. & Zucc.","Caatinga","PE","Acima 
(tronco+galhos+folhas)","Seco","2,0","50,0","0,85","-","0,3675*(d^1,8355)","Sampaio e Silva (2005)"
"Astronium urundeuva 
(M. Allemão) Engl.","Caatinga","PE","Acima 
(tronco+galhos+folhas)","Seco","2,0","50,0","0,98","-","0,1397*(d^2,4659)","Sampaio e Silva (2005)"
"Bauhinia cheilantha 
(Bong.) Steud.","Caatinga","PE","Acima 
(tronco+galhos+folhas)","Seco","1,9","9,5","0,97","12,1%","0,0699*(d^2,2115)*(ht^0,8155)","Dalla Lana et al. (2018)"
"Bauhinia cheilantha 
(Bong.) Steud.","Caatinga","PE","Acima 
(tronco+galhos+folhas)","Seco","1,9","9,5","0,94","65,1%","exp(-2,7776+2,1672*log(d)+0,9313*log(ht))","Dalla Lana et al. (2018)"
"Bauhinia cheilantha 
(Bong.) Steud.","Caatinga","PE","Acima 
(tronco+galhos+folhas)","Seco","1,9","9,5","0,94","64,4%","exp(-2,8746+1,0523*log((d^2)*ht))","Dalla Lana et al. (2018)"
"Bauhinia cheilantha 
(Bong.) Steud.","Caatinga","PE","Acima 
(tronco+galhos+folhas)","Seco","1,9","9,5","0,94","17,9%","0,1543*(d^2,4831)","Dalla Lana et al. (2018)"
"Bauhinia cheilantha 
(Bong.) Steud.","Caatinga","PE","Acima 
(tronco+galhos+folhas)","Seco","1,9","9,5","0,94","17,9%","0,1543*(d^2)^1,2416","Dalla Lana et al. (2018)"
"Bauhinia cheilantha 
(Bong.) Steud.","Caatinga","PE","Acima 
(tronco+galhos+folhas)","Seco","1,9","9,5","0,97","12,5%","0,0568*((d^2)*ht)^1,0531","Dalla Lana et al. (2018)"
"Bauhinia forficata Link","Caatinga","CE","Acima 
(tronco+galhos+folhas)","Seco","-","-","0,95","-","10^(-2,480+0,9270*log10(d^2*ht))","Schacht et al. (1988)"
"Cenostigma bracteosum 
(Tul.) E. Gagnon & G.P. Lewis","Caatinga","PE","Acima 
(tronco+galhos+folhas)","Seco","1,9","9,5","0,83","24,4%","0,6221*(d^1,1061)*(ht^0,6840)","Dalla Lana et al. (2018)"
"Cenostigma bracteosum 
(Tul.) E. Gagnon & G.P. Lewis","Caatinga","PE","Acima 
(tronco+galhos+folhas)","Seco","1,9","9,5","0,85","23,4%","6,6205+0,0341*((d^2)*ht)","Dalla Lana et al. (2018)"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23.0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Savana Estépica (Caatinga)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Espécie","Bioma","Estado","Compartimento","Peso","d mín.","d máx.","R2/R2aj","Syx","Equação","Autor"
"Cenostigma bracteosum 
(Tul.) E. Gagnon & G.P. Lewis","Caatinga","PE","Acima 
(tronco+galhos+folhas)","Seco","1,9","9,5","0,75","30,1%","0,9765*(d^1,5126)","Dalla Lana et al. (2018)"
"Cenostigma bracteosum 
(Tul.) E. Gagnon & G.P. Lewis","Caatinga","PE","Acima 
(tronco+galhos+folhas)","Seco","1,9","9,5","0,75","30,1%","0,9767*(d^2)^0,7563","Dalla Lana et al. (2018)"
"Cenostigma bracteosum 
(Tul.) E. Gagnon & G.P. Lewis","Caatinga","PE","Acima 
(tronco+galhos+folhas)","Seco","1,9","9,5","0,84","24,1%","0,6173*((d^2)*ht)^0,5957","Dalla Lana et al. (2018)"
"Cenostigma pyramidale 
(Tul.) E. Gagnon & G.P. Lewis","Caatinga","CE","Acima 
(tronco+galhos+folhas)","Seco","-","-","0,99","-","0,0626*(d^2)*ht","Schacht et al. (1988)"
"Cenostigma pyramidale 
(Tul.) E. Gagnon & G.P. Lewis","Caatinga","PE","Acima 
(tronco+galhos+folhas)","Seco","2,0","50,0","0,82","-","0,2365*(d^2,1928)","Sampaio e Silva (2005)"
"Cenostigma pyramidale 
(Tul.) E. Gagnon & G.P. Lewis","Caatinga","PE","Acima 
(tronco+galhos+folhas)","Seco","2,0","19,0","0,68","-","0,3129*(d^1,8838)","Sampaio et al. (2010)"
"Cenostigma pyramidale 
(Tul.) E. Gagnon & G.P. Lewis","Caatinga","PE","Acima 
(tronco+galhos+folhas)","Seco","2,0","19,0","0,69","-","0,0904*(d*(ht^1,3904))","Sampaio et al. (2010)"
"Cereus jamacaru DC.","Caatinga","PE","Acima 
(tronco+galhos+folhas)","Seco","2,0","50,0","0,70","-","0,0010*(d^3,2327)","Sampaio e Silva (2005)"
"Cnidoscolus quercifolius Pohl","Caatinga","PE","Acima 
(tronco+galhos+folhas)","Seco","1,9","9,5","0,79","27,2%","3,9444+0,0186*((d^2)*ht)","Dalla Lana et al. (2018)"
